City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Talnakh,RU,2022-01-21 21:07:44,69.4865,88.3972,8.19,96,100,11.1
67,Iqaluit,CA,2022-01-21 21:07:45,63.7506,-68.5145,-30.78,95,66,3.29
68,Cape Town,ZA,2022-01-21 21:03:11,-33.9258,18.4232,75.11,64,0,1.01
69,Pacific Grove,US,2022-01-21 21:07:45,36.6177,-121.9166,70.61,48,64,1.01
70,Plonsk,PL,2022-01-21 21:07:45,52.6235,20.3755,31.03,71,11,15.97
71,Karratha,AU,2022-01-21 21:07:46,-20.7377,116.8463,82.83,70,37,11.03
72,Carutapera,BR,2022-01-21 21:07:46,-1.195,-46.02,79.92,79,37,8.25
73,Clyde River,CA,2022-01-21 21:07:46,70.4692,-68.5914,-19.25,80,100,3.04
74,Pisco,PE,2022-01-21 21:03:09,-13.7,-76.2167,77.05,65,0,23.02
75,Camopi,GF,2022-01-21 21:07:47,3.1655,-52.3158,70.7,99,100,2.59
76,Khatanga,RU,2022-01-21 21:07:47,71.9667,102.5,15.85,93,100,17.92
77,Genhe,CN,2022-01-21 21:07:47,50.7833,121.5167,0.16,97,100,1.21
78,Jalu,LY,2022-01-21 21:07:48,29.0331,21.5482,52.52,47,8,3.2
79,Imbituba,BR,2022-01-21 21:07:48,-28.24,-48.6703,84.09,76,1,18.01
80,Saint George,US,2022-01-21 21:07:16,37.1041,-113.5841,55.94,36,40,4.0
81,Arraial Do Cabo,BR,2022-01-21 21:06:19,-22.9661,-42.0278,80.46,74,0,14.97
82,Hambantota,LK,2022-01-21 21:03:23,6.1241,81.1185,73.69,80,79,3.36
83,Uglerodovskiy,RU,2022-01-21 21:07:49,48.147,40.0621,28.49,95,100,5.12
84,Muros,ES,2022-01-21 21:07:49,42.7762,-9.0603,49.08,61,0,12.39
85,Wewak,PG,2022-01-21 21:07:49,-3.5534,143.6268,77.09,93,100,6.46
86,Faanui,PF,2022-01-21 21:07:50,-16.4833,-151.75,80.89,76,100,14.27
87,Sur,OM,2022-01-21 21:08:50,22.5667,59.5289,68.25,59,4,29.82
88,Husavik,IS,2022-01-21 21:08:50,66.0449,-17.3389,37.6,63,7,23.8
89,Sterling,US,2022-01-21 21:08:51,39.0062,-77.4286,25.59,55,75,11.99
